요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
화순전남대학교병원,1,상급종합,360000,전라도,360022,화순군,,58128,"전라남도 화순군 화순읍 서양로 322, ()",061-379-7114,,20040406,256,0,24,64,166,0,0,0,2,0,0,0,0,0,127.0025,35.0594333
(의)나사렛의료재단 나사렛국제병원,11,종합병원,220000,인천,220007,인천연수구,,21972,"인천광역시 연수구 먼우금로 98-0, 나사렛국제병원",032-899-9999,,20091201,53,1,0,0,47,2,0,0,0,1,0,0,2,0,126.6704928,37.407958
(의)성세의료재단 뉴성민병원,11,종합병원,220000,인천,220005,인천서구,석남동,22789,"인천광역시 서구 신석로 70, (석남동)",032-726-1000,,19930708,28,1,0,0,27,0,0,0,0,0,0,0,0,0,126.6698519,37.5097753
(의)영문의료재단 다보스병원,11,종합병원,310000,경기,312003,용인처인구,,17063,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",031-8021-2114,,20081224,34,0,0,0,33,1,0,0,0,0,0,0,0,0,127.2114648,37.2314883
(재)미리내천주성삼성직수도회천주성삼병원,11,종합병원,230000,대구,230005,대구수성구,,42274,"대구광역시 수성구 달구벌대로 3190, (신매동, 천주성삼병원)",053-790-1000,,20030124,23,0,0,0,23,0,0,0,0,0,0,0,0,0,128.7057102,35.8402518
KS병원,11,종합병원,240000,광주,240004,광주광산구,,62248,"광주광역시 광산구 왕버들로 220, (수완동)",062-975-9000,,20110422,39,0,0,0,38,0,0,0,1,0,0,0,0,0,126.8331484,35.1979238
가톨릭관동대학교 국제성모병원,11,종합병원,220000,인천,220005,인천서구,,22711,"인천광역시 서구 심곡로100번길 25-0, 인천국제성모병원",032-1600-8291,,20140117,190,0,19,31,135,1,0,0,2,0,0,0,2,0,126.6836103,37.5424165
가톨릭대학교 성빈센트병원,11,종합병원,310000,경기,310603,수원팔달구,,16247,"경기도 수원시 팔달구 중부대로 93, (지동)",031-1577-8588,,19670523,372,0,32,91,243,0,0,0,6,0,0,0,0,0,127.0274271,37.2779855
가톨릭대학교 여의도성모병원,11,종합병원,110000,서울,110013,영등포구,,7345,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",1661-7575,,19860820,259,0,23,80,153,0,0,0,3,0,0,0,0,0,126.9367517,37.5183253
가톨릭대학교 은평성모병원,11,종합병원,110000,서울,110015,은평구,,3312,"서울특별시 은평구 통일로 1021, (진관동)",02-1811-7755,,19610515,282,0,14,51,214,0,0,0,3,0,0,0,0,0,126.9161912,37.6334945
가톨릭대학교부천성모병원,11,종합병원,310000,경기,310300,부천시,,14647,"경기도 부천시 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",032-1577-0675,,19831108,256,1,24,69,155,0,0,0,7,0,0,0,0,0,126.7924167,37.4871165
가톨릭대학교의정부성모병원,11,종합병원,310000,경기,310800,의정부시,,11765,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",1661-7500,,19711230,274,0,30,68,173,0,0,0,3,0,0,0,0,0,127.0777625,37.7587045
강남베드로병원,11,종합병원,110000,서울,110001,강남구,,6271,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",1544-7522,,20031219,30,0,0,0,30,0,0,0,0,0,0,0,0,0,127.0396045,37.4856196
강남병원,11,종합병원,310000,경기,312001,용인기흥구,,17064,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",031-300-0114,,20000701,41,0,0,0,41,0,0,0,0,0,0,0,0,0,127.1115072,37.2737515
강남병원,11,종합병원,230000,대구,230002,대구동구,,41145,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",053-980-9000,,20030627,19,0,0,0,19,0,0,0,0,0,0,0,0,0,128.6634475,35.8829108
강동경희대학교의대병원,11,종합병원,110000,서울,110002,강동구,,5278,"서울특별시 강동구 동남로 892, (상일동)",02-440-7114,,20060227,296,1,23,79,192,0,0,0,1,0,0,0,0,0,127.1576732,37.5535361
강원대학교병원,11,종합병원,320000,강원,320500,춘천시,효자동,24289,"강원특별자치도 춘천시 백령로 156, (효자동)",033-258-2000,,19820708,270,2,26,76,165,0,0,0,1,0,0,0,0,0,127.744891,37.8751611
강원특별자치도강릉의료원,11,종합병원,320000,강원,320100,강릉시,남문동,25535,"강원특별자치도 강릉시 경강로 2007, 2007 (남문동)",033-610-1200,,19830701,20,1,0,0,17,2,0,0,0,0,0,0,0,0,128.8888317,37.7492828
강원특별자치도삼척의료원,11,종합병원,320000,강원,320700,삼척시,,25920,"강원특별자치도 삼척시 오십천로 418-0, 삼척의료원",033-572-1141,,19830701,26,1,0,0,23,1,0,0,1,0,0,0,0,0,129.1638017,37.4403018
강원특별자치도속초의료원,11,종합병원,320000,강원,320300,속초시,영랑동,24821,"강원특별자치도 속초시 영랑호반길 3, (영랑동)",033-630-6000,,19830701,21,1,0,0,18,2,0,0,0,0,0,0,0,0,128.5892485,38.2164607
강원특별자치도영월의료원,11,종합병원,320000,강원,320006,영월군,영월읍,26234,"강원특별자치도 영월군 영월읍 중앙1로 59, (영월읍)",033-370-9101,,19830701,22,0,0,0,20,1,0,0,1,0,0,0,0,0,128.4652388,37.1864525
강원특별자치도원주의료원,11,종합병원,320000,강원,320400,원주시,,26448,"강원특별자치도 원주시 서원대로 387- ,  (개운동)",033-760-4605,,19830701,40,0,0,0,37,2,0,0,1,0,0,0,0,0,127.949225,37.332608
강일병원,11,종합병원,380000,경상도,380100,김해시,,50905,"경상남도 김해시 가락로 359, (구산동)",055-822-0100,,20170315,34,0,0,0,33,0,0,0,1,0,0,0,0,0,128.8696709,35.2566817
건국대학교 충주병원,11,종합병원,330000,충청도,330200,충주시,,27376,"충청북도 충주시 국원대로 82-0, 건국대학교충주병원",043-840-8200,,19890725,52,0,0,1,50,1,0,0,0,0,0,0,0,0,127.9288169,36.9789801
검단탑병원,11,종합병원,220000,인천,220005,인천서구,,0,"인천광역시 서구 청마로19번길 5- , (당하동)",032-590-0114,,20090112,52,0,0,0,48,2,0,0,2,0,0,0,0,0,126.6711792,37.5924835
경기도의료원 수원병원,11,종합병원,310000,경기,310602,수원장안구,,16316,"경기도 수원시 장안구 수성로245번길 69, (정자동)",031-888-0114,,19651221,32,0,0,0,29,1,0,0,2,0,0,0,0,0,126.9963375,37.2918917
경기도의료원 안성병원,11,종합병원,310000,경기,312400,안성시,,17568,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",031-8046-5000,,19830701,28,0,0,0,27,0,0,0,1,0,0,0,0,0,127.2603668,37.0173531
경기도의료원 이천병원,11,종합병원,310000,경기,312100,이천시,,17366,"경기도 이천시 경충대로 2742, (관고동)",031-630-4200,,19831001,27,0,0,0,26,0,0,0,1,0,0,0,0,0,127.4330563,37.2828595
경기도의료원의정부병원,11,종합병원,310000,경기,310800,의정부시,,11671,"경기도 의정부시 흥선로 142, (의정부동)",031-828-5000,,19860416,19,0,0,0,16,1,0,0,1,0,0,0,1,0,127.0425004,37.741161
경기도의료원파주병원,11,종합병원,310000,경기,312200,파주시,,10922,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",940-9100,,20070816,29,1,0,0,26,2,0,0,0,0,0,0,0,0,126.7801503,37.7550649
경기도의료원포천병원,11,종합병원,310000,경기,312800,포천시,,11142,"경기도 포천시 포천로 1648, (신읍동)",031-539-9114,,19870424,24,0,0,0,23,0,0,0,1,0,0,0,0,0,127.19828,37.9033163
경상남도마산의료원,11,종합병원,380000,경상도,380702,창원마산합포구,,51736,"경상남도 창원시 마산합포구 3·15대로 231, (중앙동3가)",055-249-1000,,19840223,22,1,0,0,21,0,0,0,0,0,0,0,0,0,128.5655967,35.1992371
경상북도김천의료원,11,종합병원,370000,경상도,370300,김천시,,39579,"경상북도 김천시 모암길 24,  (모암동)",054-432-8901,,19660426,40,1,0,0,37,2,0,0,0,0,0,0,0,0,128.1264391,36.1227232
경상북도안동의료원,11,종합병원,370000,경상도,370400,안동시,,36694,"경상북도 안동시 태사2길 55,  (북문동)",054-850-6000,,19810831,24,0,0,0,22,2,0,0,0,0,0,0,0,0,128.7321116,36.5682206
경상북도포항의료원,11,종합병원,370000,경상도,370702,포항북구,,37688,"경상북도 포항시 북구 용흥로 36,  (용흥동)",054-247-0551,,19780727,22,1,0,0,19,2,0,0,0,0,0,0,0,0,129.3549409,36.0348814
경찰병원,11,종합병원,110000,서울,110018,송파구,,5715,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",02-3400-1114,,19710220,115,0,15,32,65,0,0,0,3,0,0,0,0,0,127.123509,37.4963836
계명대학교대구동산병원,11,종합병원,230000,대구,230006,대구중구,,41931,"대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)",053-250-8114,,20190329,38,0,0,0,38,0,0,0,0,0,0,0,0,0,128.5831323,35.8694728
고신대학교복음병원,11,종합병원,210000,부산,210006,부산서구,,49267,"부산광역시 서구 감천로 262, (암남동)",990-6114,,19740226,286,2,15,81,182,3,0,0,3,0,0,0,0,0,129.0139595,35.0809636
곽병원,11,종합병원,230000,대구,230006,대구중구,,41919,"대구광역시 중구 국채보상로 531, (수동)",053-252-2401,,19760409,26,1,0,0,24,1,0,0,0,0,0,0,0,0,128.5885849,35.8710213
광명성애병원,11,종합병원,310000,경기,310100,광명시,,14241,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",02-2680-7114,,19831209,97,2,5,23,64,2,0,0,1,0,0,0,0,0,126.8713502,37.4736659
광양사랑병원,11,종합병원,360000,전라도,360700,광양시,,57788,"전라남도 광양시 공영로 71,  (중동)",061-797-7000,,20010430,21,0,0,0,21,0,0,0,0,0,0,0,0,0,127.6969657,34.9361846
광주기독병원,11,종합병원,240000,광주,240005,광주남구,,61661,"광주광역시 남구 양림로 37,  (양림동)",062-650-5000,,19830329,128,0,16,22,88,0,0,0,2,0,0,0,0,0,126.911875,35.136665
광주병원,11,종합병원,240000,광주,240002,광주북구,,61171,"광주광역시 북구 면앙로139번길 51,  (두암동)",062-260-7100,,20010202,36,1,0,0,34,1,0,0,0,0,0,0,0,0,126.9281408,35.178903
광주보훈병원,11,종합병원,240000,광주,240004,광주광산구,,62284,"광주광역시 광산구 첨단월봉로 99,  (산월동)",062-602-6114,,19870326,71,3,4,6,52,0,0,0,5,1,0,0,0,0,126.849672,35.2079032
광주센트럴병원,11,종합병원,240000,광주,240004,광주광산구,,62305,"광주광역시 광산구 수완로 6-0,  A,B,C동 (신가동)",062-950-9700,,20151014,28,0,0,0,28,0,0,0,0,0,0,0,0,0,126.82926,35.1854818
광주수완병원,11,종합병원,240000,광주,240004,광주광산구,,62247,"광주광역시 광산구 임방울대로 370,  (수완동)",062-958-1111,,20110103,19,0,0,0,19,0,0,0,0,0,0,0,0,0,126.8241888,35.193096
광주씨티병원,11,종합병원,240000,광주,240005,광주남구,,61710,"광주광역시 남구 서문대로654번길 5,  (진월동)",062-460-7000,,20050501,24,1,0,0,23,0,0,0,0,0,0,0,0,0,126.8994848,35.1177147
광주일곡병원,11,종합병원,240000,광주,240002,광주북구,,61040,"광주광역시 북구 양일로 309,  (일곡동)",062-608-7000,,20021213,21,1,0,0,20,0,0,0,0,0,0,0,0,0,126.8976135,35.2028543
광주한국병원,11,종합병원,240000,광주,240003,광주서구,,61967,"광주광역시 서구 월드컵4강로 223,  (쌍촌동)",062-380-3000,,19830418,27,0,0,0,27,0,0,0,0,0,0,0,0,0,126.8688164,35.1562166
광주현대병원,11,종합병원,240000,광주,240002,광주북구,,61063,"광주광역시 북구 설죽로 291,  (용봉동)",062-570-0114,,19980603,37,1,0,0,36,0,0,0,0,0,0,0,0,0,126.897925,35.185676
광주희망병원,11,종합병원,240000,광주,240002,광주북구,,61019,"광주광역시 북구 하서로 429,  (용두동)",062-608-6000,,20070323,23,0,0,0,23,0,0,0,0,0,0,0,0,0,126.8747341,35.2134937
구로성심병원,11,종합병원,110000,서울,110005,구로구,,8223,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",02-2067-1500,,20000209,35,1,0,0,34,0,0,0,0,0,0,0,0,0,126.8664159,37.4996715
구미강동병원,11,종합병원,370000,경상도,370200,구미시,,39399,"경상북도 구미시 인동20길 46,  (진평동)",054-453-7575,,20080324,31,0,0,0,28,3,0,0,0,0,0,0,0,0,128.4228695,36.096239
구포성심병원,11,종합병원,210000,부산,210005,부산북구,,46581,"부산광역시 북구 낙동대로 1786, (구포동)",051-330-2001,,19830419,32,0,0,0,31,0,0,0,1,0,0,0,0,0,129.0047235,35.2097133
국군수도병원,11,종합병원,310000,경기,310403,성남분당구,,13574,"경기도 성남시 분당구 새마을로177번길 81, (율동)",031-725-6075,,20000226,136,0,0,3,133,0,0,0,0,0,0,0,0,0,127.1490674,37.3923789
국립암센터,11,종합병원,310000,경기,311903,고양일산동구,,10408,"경기도 고양시 일산동구 일산로 323, (마두동)",031-920-0114,,20000908,211,1,0,9,194,0,0,4,3,0,0,0,0,0,126.7834097,37.6632301
국립중앙의료원,11,종합병원,110000,서울,110017,중구,,4564,"서울특별시 중구 을지로 245, (을지로6가)",02-2260-7114,,20100402,238,1,28,75,124,0,0,0,4,0,0,3,3,0,127.005671,37.5672138
국민건강보험공단일산병원,11,종합병원,310000,경기,311903,고양일산동구,,10444,"경기도 고양시 일산동구 일산로 100, (백석동,백석1동 1241외1필지 4층)",1577-0013,,20000118,247,0,0,28,190,0,5,14,10,0,0,0,0,0,126.7930401,37.6454754
근로복지공단 대전병원,11,종합병원,250000,대전,250002,대전대덕구,,34384,"대전광역시 대덕구 계족로 637,  (법동)",042-670-5419,,19910422,29,1,0,0,27,1,0,0,0,0,0,0,0,0,127.4285488,36.3683976
근로복지공단 동해병원,11,종합병원,320000,강원,320200,동해시,,0,"강원특별자치도 동해시 하평로 11- , (평릉동)",033-530-3100,,19830125,19,0,0,0,19,0,0,0,0,0,0,0,0,0,,
근로복지공단 순천병원,11,종합병원,360000,전라도,360400,순천시,,57947,"전라남도 순천시 조례1길 24, (조례동)",061-720-7575,,19850507,25,1,0,0,22,2,0,0,0,0,0,0,0,0,127.5249267,34.9611351
근로복지공단 창원병원,11,종합병원,380000,경상도,380705,창원성산구,,51524,"경상남도 창원시 성산구 창원대로 721, (중앙동)",055-280-7619,,19791126,30,2,0,0,24,4,0,0,0,0,0,0,0,0,128.6717512,35.2187539
근로복지공단 태백병원,11,종합병원,320000,강원,320600,태백시,장성동,26052,"강원특별자치도 태백시 보드미길 12, (장성동)",033-580-3114,,19770501,20,0,0,0,19,0,0,0,1,0,0,0,0,0,129.0061811,37.1032031
근로복지공단안산병원,11,종합병원,310000,경기,311102,안산상록구,,15324,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",031-500-1114,,19860101,39,0,0,0,37,1,0,0,1,0,0,0,0,0,126.874139,37.3167269
근로복지공단인천병원,11,종합병원,220000,인천,220003,인천부평구,,21417,"인천광역시 부평구 무네미로 446, (구산동)",032-500-0114,,20141230,30,0,0,0,30,0,0,0,0,0,0,0,0,0,126.7536333,37.4767018
나사렛종합병원,11,종합병원,230000,대구,230007,대구달서구,,42784,"대구광역시 달서구 월배로 97, 나사렛병원 (진천동)",053-643-1400,,20200116,30,0,0,0,30,0,0,0,0,0,0,0,0,0,128.5250947,35.8147003
나주종합병원,11,종합병원,360000,전라도,360200,나주시,,58251,"전라남도 나주시 영산로 5419, 나주종합병원",061-330-6114,,19870624,23,1,1,0,20,1,0,0,0,0,0,0,0,0,126.7213975,35.0363159
남양주 한양병원,11,종합병원,310000,경기,311500,남양주시,,12048,"경기도 남양주시 오남읍 양지로 47-55, 47",031-510-0114,,20090303,28,0,0,0,27,0,0,0,1,0,0,0,0,0,127.2043933,37.6823474
노원을지대학교병원,11,종합병원,110000,서울,110022,노원구,,1830,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",02-970-8000,,19950114,229,1,39,59,127,1,0,0,2,0,0,0,0,0,127.0699355,37.6364794
녹색병원,11,종합병원,110000,서울,110019,중랑구,,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,,20030917,37,1,0,0,36,0,0,0,0,0,0,0,0,0,127.0860738,37.5835731
뉴대성병원,11,종합병원,310000,경기,310300,부천시,,14577,"경기도 부천시 부천로 91, ,부흥로373번길18, 부흥로377(기존디에스병원A동) (심곡동)",032-610-1111,,19840308,19,0,0,0,18,0,0,0,1,0,0,0,0,0,126.7841872,37.4925524
